id,season,city,team1,team2,toss_winner,toss_decision,winner,batting1_runs,batting2_runs,batting1_super_over,batting2_super_over,bowling1_extras,bowling2_extras,p1,p2,SAB,team1_bat_score,team2_bat_score,team1_ball_score,team2_ball_score
118,2009,13,1,5,5,0,1,165,146,0,0,3,9,0,0,-0.057068208,6.524096907,7.200756672,6.285926048,5.993833683
119,2009,13,3,6,3,1,3,133,58,0,0,4,9,0,100,-0.322662627,6.529960682,7.137948408,5.522912125,6.733569424
120,2009,13,9,7,7,0,7,104,58,0,0,8,5,0,0,0.407895025,6.002686525,2.85938824,5.557393278,6.507578925
121,2009,13,2,4,2,1,4,101,104,0,0,5,2,100,0,0.301920237,8.006986714,5.194768646,5.028573975,5.997876307
122,2009,14,5,3,5,1,5,179,87,0,0,13,5,0,0,-0.054728812,6.383637416,6.189364971,6.506248542,7.120092116
123,2009,15,9,2,2,0,2,158,79,0,0,12,4,0,0,-0.198664113,5.743348295,7.130751009,5.648186535,5.398792356
124,2009,13,4,3,4,1,4,184,160,0,0,9,7,0,100,0.374182521,8.041915996,5.952934777,6.891849771,6.496171669
125,2009,15,7,5,7,1,7,189,180,0,0,1,15,0,0,-0.332858994,3.26898165,5.823805641,6.703377464,6.099668291
126,2009,13,6,2,2,0,6,150,150,15,18,10,18,100,0,-0.133669668,8.231815867,7.575435452,5.486851805,6.601386889
127,2009,15,3,9,3,1,9,168,173,0,0,8,13,0,100,0.21992006,7.000658111,5.731247378,6.884265264,6.651873232
128,2009,15,4,1,4,1,4,168,156,0,0,14,13,0,0,0.113634234,7.479088199,6.521704602,6.292691635,6.503398212
129,2009,14,3,7,3,1,7,149,150,0,0,11,4,0,0,0.383109981,6.356453258,4.056314114,6.823598185,6.50234097
130,2009,13,9,6,9,1,9,139,112,0,0,13,10,0,0,0.266926578,6.900788483,7.14775139,6.596819492,5.110024562
131,2009,15,5,4,4,0,4,165,169,0,0,7,10,0,0,-0.270230886,6.052637154,7.393092226,6.379585953,6.811152985
